tl_browser_id,browser_name
8,Android
7,BlackBerry
15,Bot
3,Chrome
16,Edge
2,Firefox
6,iPhone
1,MSIE
12,MSIE 10
13,MSIE 11
9,MSIE 7
10,MSIE 8
11,MSIE 9
5,Opera
14,Other
4,Safari
0,Unknown
